,species,count,superkingdom,kingdom,phylum,class,order,family,genus
0,Clostridium pasteurianum,41563,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
1,Klebsiella pneumoniae,15514,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
2,uncultured bacterium,14871,Bacteria,,,,,,
3,Klebsiella pneumoniae subsp. pneumoniae,2949,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
4,uncultured organism,1545,,,,,,,
5,Escherichia coli,930,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
6,Salmonella enterica subsp. enterica serovar Albany,682,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
7,Klebsiella sp.,628,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
8,Klebsiella sp. UIWRF0518,536,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
9,Enterococcus faecalis,463,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
10,uncultured Klebsiella sp.,451,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
11,Shigella sp.,395,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
12,Klebsiella variicola,306,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
13,Escherichia sp.,277,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
14,Klebsiella sp. UIWRF0499,247,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
15,uncultured Escherichia sp.,213,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
16,Klebsiella sp. NCIM5432,188,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
17,Klebsiella sp. SUS6K,167,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
18,Clostridium tyrobutyricum,127,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
19,uncultured low G+C Gram-positive bacterium,125,Bacteria,,Firmicutes,,,,
20,Enterobacter cloacae,121,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
21,uncultured prokaryote,119,,,,,,,
22,Clostridium amylolyticum,103,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
23,[Clostridium] indolis,93,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,
24,uncultured Clostridium sp.,89,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
25,Klebsiella quasipneumoniae subsp. quasipneumoniae,80,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
26,Shigella flexneri 5 str. 8401,70,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
27,uncultured Enterococcus sp.,64,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
28,endosymbiont of Sphenophorus levis,58,Bacteria,,Proteobacteria,Gammaproteobacteria,,,Candidatus Nardonella
29,Klebsiella sp. HC1,55,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
30,Shigella flexneri,51,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
31,uncultured Oscillibacter sp.,50,Bacteria,,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter
32,Klebsiella sp. CR45,45,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
33,uncultured Enterobacteriaceae bacterium,41,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
34,Klebsiella variicola At-22,40,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
35,bacterium AD8(2012),37,Bacteria,,,,,,
36,Enterobacteriaceae bacterium DHL-40,35,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
37,Klebsiella sp. M.pstv.26.2,33,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
38,Enterococcus sp. L191(2011),30,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,
39,Klebsiella sp. 29MoSuero,29,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
40,Klebsiella sp. PN2,27,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
41,uncultured gamma proteobacterium,27,Bacteria,,Proteobacteria,Gammaproteobacteria,,,
42,Klebsiella sp. enrichment culture clone HSL31,26,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
43,Klebsiella sp. HPC61,25,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
44,Klebsiella oxytoca,20,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
45,Clostridium sp.,20,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
46,Klebsiella sp. 928k,19,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
47,uncultured soil bacterium,19,Bacteria,,,,,,
48,uncultured Trichococcus sp.,18,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus
49,Klebsiella pneumoniae subsp. pneumoniae Kp13,17,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
50,Escherichia fergusonii,17,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
51,uncultured Clostridiales bacterium,17,Bacteria,,Firmicutes,Clostridia,Clostridiales,,
52,swine fecal bacterium RF3D-Cel1,16,Bacteria,,,,,,
53,Stenotrophomonas maltophilia,15,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
54,Enterobacter hormaechei,14,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
55,Klebsiella sp. B29,14,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
56,Klebsiella sp. J2-K,13,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
57,Klebsiella sp. CWS1,13,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
58,Klebsiella sp. HGB0168,13,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
59,Klebsiella sp. CCFM8380,13,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
60,Salmonella enterica subsp. enterica serovar Blegdam,12,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
61,Klebsiella sp. XJ1,12,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
62,uncultured Enterobacter sp.,12,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
63,uncultured proteobacterium,12,Bacteria,,Proteobacteria,,,,
64,uncultured Enterococcaceae bacterium,12,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,
65,Clostridium pasteurianum DSM 525 = ATCC 6013,12,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
66,Clostridium sp. taihuN5,12,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
67,Pseudomonas aeruginosa,11,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
68,Klebsiella sp. Vr7,11,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
69,bacterium NLAE-zl-P51,11,Bacteria,,,,,,
70,Escherichia sp. BAB-5781,11,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
71,Klebsiella sp. D3,11,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
72,Enterobacteriaceae bacterium ENNIH3,11,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
73,Klebsiella quasipneumoniae subsp. similipneumoniae,10,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
74,Shigella flexneri 2a,10,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
75,Clostridium sp. Irt-JG1-9,10,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
76,Klebsiella sp. BTSUK,10,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
77,Enterococcus faecalis ARO1/DG,10,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
78,bacterium tet-w-28,10,Bacteria,,,,,,
79,Klebsiella quasipneumoniae,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
80,Klebsiella sp. YXA1-5,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
81,Klebsiella pneumoniae KCTC 2242,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
82,Klebsiella pneumoniae 30660/NJST258_1,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
83,Klebsiella sp. enrichment culture clone SRC_DSA11,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
84,Klebsiella sp. enrichment culture clone SRC_DSA2,9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
85,bacterium NLAE-zl-P240,9,Bacteria,,,,,,
86,Lysinibacillus sphaericus,8,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
87,Klebsiella sp. CR31,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
88,Klebsiella sp. SS6,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
89,Klebsiella sp. A18-KP14,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
90,Klebsiella sp. GS-6,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
91,uncultured Stenotrophomonas sp.,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
92,Klebsiella pneumoniae subsp. pneumoniae 1158,8,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
93,Achromobacter insolitus,8,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
94,uncultured Bacillus sp.,8,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
95,Klebsiella sp. enrichment culture clone SRC_DSB10,7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
96,Klebsiella sp. SGM 81,7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
97,Klebsiella sp. L212,7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
98,Ochrobactrum anthropi,7,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
99,Klebsiella sp. YX115S,7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
100,Klebsiella sp. H2(2016),7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
101,Shigella boydii,7,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
102,Klebsiella pneumoniae subsp. ozaenae,6,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
103,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,6,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
104,uncultured Enterobacterales bacterium,6,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,,
105,Metakosakonia sp. MRY16-398,6,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Metakosakonia
106,uncultured Firmicutes bacterium,6,Bacteria,,Firmicutes,,,,
107,Escherichia coli O104:H4 str. 2011C-3493,6,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
108,uncultured Aerococcaceae bacterium,6,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,
109,Lactobacillus brevis,6,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
110,Pectobacterium wasabiae,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
111,Klebsiella pneumoniae KP-1,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
112,Klebsiella sp. UIWRF0237,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
113,Klebsiella sp. Y9,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
114,Enterobacter sp. BAB-5830,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
115,Klebsiella sp. R40.1,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
116,Klebsiella sp. enrichment culture clone SRC_DSA6,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
117,Enterobacter cancerogenus,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
118,bacterium,5,Bacteria,,,,,,
119,Klebsiella sp. enrichment culture clone SRC_DSA5,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
120,Klebsiella pneumoniae subsp. rhinoscleromatis,5,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
121,Facklamia hominis,5,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia
122,bacterium NLAE-zl-P740,5,Bacteria,,,,,,
123,Ochrobactrum sp. PP-2,5,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
124,bacterium NLAE-zl-P676,5,Bacteria,,,,,,
125,Klebsiella sp. SW2,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
126,Klebsiella sp. Ck-1,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
127,Klebsiella sp. enrichment culture clone SRC_DSA24,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
128,Enterobacter sp. TSSAS2-21,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
129,uncultured microorganism,4,,,,,,,
130,Klebsiella sp. Y12,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
131,Faecalicatena contorta,4,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
132,Klebsiella sp. HPC830,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
133,metal-contaminated soil clone K20-14,4,Bacteria,,Firmicutes,,,,
134,Phytobacter sp. SCO41,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Phytobacter
135,Enterobacter sp.,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
136,uncultured Clostridiaceae bacterium,4,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,
137,Actinomyces polynesiensis,4,Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
138,Enterobacteriaceae bacterium DHL-23,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
139,Escherichia coli APEC O2-211,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
140,bacterium enrichment culture clone aHCH7_F6,4,Bacteria,,,,,,
141,Stenotrophomonas sp. JA62,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
142,Streptomyces sp. DA01013,4,Bacteria,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
143,uncultured Burkholderiales bacterium,4,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,
144,Escherichia sp. UIWRF0005,4,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
145,bacterium L4,4,Bacteria,,,,,,
146,Klebsiella sp. SOZ2-4101,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
147,Enterobacter hormaechei subsp. steigerwaltii,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
148,Klebsiella sp. 50MoSuero,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
149,Klebsiella sp. A9-kP5,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
150,Klebsiella sp. Z1S-2,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
151,Klebsiella sp. BAB-4799,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
152,Klebsiella sp. HGB0181,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
153,Microbulbifer rhizosphaerae,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer
154,Clostridium sp. LYH1,3,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
155,Klebsiella sp. SRC_DSD6,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
156,Enterobacteriaceae bacterium HGPR36,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
157,Desulfotomaculum sp. CYP9,3,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
158,Pseudomonas sp. enrichment culture clone 2(2012),3,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,
159,Enterobacteriaceae bacterium DHL-16,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
160,Enterococcus moraviensis,3,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
161,bacterium enrichment culture clone Jdg017,3,Bacteria,,,,,,
162,Clostridium sulfidigenes,3,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
163,uncultured Parapedobacter sp.,3,Bacteria,,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter
164,Enterobacteriaceae bacterium DHL-30,3,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
165,unidentified bacterium ZF1,3,Bacteria,,,,,,
166,Enterobacter sp. 2065,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
167,Klebsiella sp. OC-B2-2,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
168,Pectobacterium sp. R13,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
169,Klebsiella pneumoniae subsp. pneumoniae 1084,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
170,Klebsiella pneumoniae HK787,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
171,Lysinibacillus sp. C-3-43,2,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
172,Klebsiella sp. BAB-5819,2,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
173,proteobacterium ARJR SMBS,2,Bacteria,,Proteobacteria,,,,
174,uncultured Microcoleus sp.,2,Bacteria,,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus
